name,training_dataset,dataset,size,recall
DeepLabV3+,WHU,chicago,small,"0.2944 ± 0.0428 → 0.3385 ± 0.0377 (Δ=+0.0441, t=0.95, p=0.443)"
DeepLabV3+,WHU,chicago,very_large,"0.6215 ± 0.0149 → 0.5951 ± 0.0572 (Δ=-0.0264, t=-0.71, p=0.551)"
DeepLabV3+,WHU,kitsap,large,"0.8883 ± 0.0075 → 0.9278 ± 0.0243 (Δ=+0.0394, t=2.49, p=0.131)"
DeepLabV3+,WHU,kitsap,medium,"0.6092 ± 0.0057 → 0.6067 ± 0.0121 (Δ=-0.0025, t=-0.61, p=0.603)"
DeepLabV3+,WHU,kitsap,outlier,"0.0000 ± 0.0000 → 0.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
DeepLabV3+,WHU,kitsap,small,"0.1657 ± 0.0068 → 0.1774 ± 0.0135 (Δ=+0.0117, t=1.00, p=0.423)"
DeepLabV3+,WHU,kitsap,very_large,"0.6111 ± 0.2546 → 0.3333 ± 0.0000 (Δ=-0.2778, t=-1.89, p=0.199)"
DeepLabV3+,WHU,overall,large,"0.6942 ± 0.0286 → 0.6984 ± 0.0258 (Δ=+0.0043, t=0.54, p=0.643)"
DeepLabV3+,WHU,overall,medium,"0.4181 ± 0.0267 → 0.4554 ± 0.0218 (Δ=+0.0372, t=1.62, p=0.247)"
DeepLabV3+,WHU,overall,outlier,"0.5714 ± 0.0800 → 0.5733 ± 0.1311 (Δ=+0.0019, t=0.06, p=0.959)"
DeepLabV3+,WHU,overall,small,"0.3143 ± 0.0287 → 0.3342 ± 0.0180 (Δ=+0.0199, t=0.74, p=0.537)"
DeepLabV3+,WHU,overall,very_large,"0.6555 ± 0.0461 → 0.6290 ± 0.0593 (Δ=-0.0265, t=-1.62, p=0.247)"
DeepLabV3+,WHU,tyrol-w,large,"0.7356 ± 0.0352 → 0.7199 ± 0.0448 (Δ=-0.0157, t=-1.61, p=0.249)"
DeepLabV3+,WHU,tyrol-w,medium,"0.7664 ± 0.0558 → 0.7721 ± 0.0198 (Δ=+0.0057, t=0.27, p=0.814)"
DeepLabV3+,WHU,tyrol-w,outlier,"0.5278 ± 0.0962 → 0.7222 ± 0.0481 (Δ=+0.1944, t=2.65, p=0.118)"
DeepLabV3+,WHU,tyrol-w,small,"0.3557 ± 0.0304 → 0.3193 ± 0.0299 (Δ=-0.0365, t=-3.39, p=0.077)"
DeepLabV3+,WHU,tyrol-w,very_large,"0.4965 ± 0.0614 → 0.4894 ± 0.0384 (Δ=-0.0071, t=-0.46, p=0.691)"
DeepLabV3+,WHU,vienna,large,"0.7870 ± 0.0387 → 0.7736 ± 0.0270 (Δ=-0.0133, t=-1.92, p=0.195)"
DeepLabV3+,WHU,vienna,medium,"0.8275 ± 0.0173 → 0.8213 ± 0.0101 (Δ=-0.0062, t=-1.48, p=0.276)"
DeepLabV3+,WHU,vienna,outlier,"0.5379 ± 0.0860 → 0.5278 ± 0.1304 (Δ=-0.0101, t=-0.33, p=0.774)"
DeepLabV3+,WHU,vienna,small,"0.3206 ± 0.0099 → 0.3315 ± 0.0036 (Δ=+0.0109, t=1.67, p=0.237)"
DeepLabV3+,WHU,vienna,very_large,"0.6607 ± 0.0595 → 0.6332 ± 0.0750 (Δ=-0.0275, t=-1.82, p=0.210)"
UNet,Massachusetts,Massachusetts,large,"0.7194 ± 0.0223 → 0.7399 ± 0.0196 (Δ=+0.0205, t=5.96, p=0.027)"
UNet,Massachusetts,Massachusetts,medium,"0.8656 ± 0.0244 → 0.8904 ± 0.0134 (Δ=+0.0248, t=3.35, p=0.079)"
UNet,Massachusetts,Massachusetts,outlier,"0.8222 ± 0.0294 → 0.8370 ± 0.0128 (Δ=+0.0148, t=1.11, p=0.383)"
UNet,Massachusetts,Massachusetts,small,"0.4123 ± 0.0136 → 0.4577 ± 0.0276 (Δ=+0.0454, t=2.86, p=0.104)"
UNet,Massachusetts,Massachusetts,very_large,"0.7686 ± 0.0188 → 0.7935 ± 0.0251 (Δ=+0.0249, t=6.24, p=0.025)"
UNet,Massachusetts,WHU Test,large,"0.8053 ± 0.0323 → 0.7818 ± 0.0091 (Δ=-0.0235, t=-1.74, p=0.224)"
UNet,Massachusetts,WHU Test,medium,"0.7315 ± 0.0233 → 0.6902 ± 0.0308 (Δ=-0.0413, t=-1.71, p=0.230)"
UNet,Massachusetts,WHU Test,outlier,"0.9298 ± 0.0152 → 0.8509 ± 0.0760 (Δ=-0.0789, t=-1.50, p=0.272)"
