,name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
63,UNet + CFENet,WHU,vienna,0.6580 ± 0.0113,0.5557 ± 0.0012,0.6025 ± 0.0040
64,UPerNet,Massachusetts,Massachusetts,0.8474 ± 0.0072,0.8224 ± 0.0113,0.8347 ± 0.0093
65,UPerNet,Massachusetts,WHU Test,0.5744 ± 0.0126,0.6188 ± 0.0050,0.5957 ± 0.0055
66,UPerNet,Massachusetts,austin,0.3140 ± 0.0434,0.4626 ± 0.0395,0.3711 ± 0.0206
67,UPerNet,Massachusetts,chicago,0.2782 ± 0.0182,0.2181 ± 0.0142,0.2442 ± 0.0129
68,UPerNet,Massachusetts,kitsap,0.1479 ± 0.0514,0.4505 ± 0.0861,0.2164 ± 0.0525
69,UPerNet,Massachusetts,overall,0.3066 ± 0.0334,0.3544 ± 0.0232,0.3275 ± 0.0170
70,UPerNet,Massachusetts,tyrol-w,0.4895 ± 0.0265,0.5734 ± 0.0115,0.5276 ± 0.0118
71,UPerNet,Massachusetts,vienna,0.3421 ± 0.0345,0.4674 ± 0.0358,0.3948 ± 0.0333
72,UPerNet,WHU,Massachusetts,0.5790 ± 0.0092,0.4037 ± 0.0116,0.4757 ± 0.0106
73,UPerNet,WHU,WHU Test,0.9063 ± 0.0022,0.8946 ± 0.0026,0.9004 ± 0.0021
74,UPerNet,WHU,austin,0.6807 ± 0.0108,0.6238 ± 0.0144,0.6509 ± 0.0099
75,UPerNet,WHU,chicago,0.4558 ± 0.0099,0.2705 ± 0.0155,0.3394 ± 0.0133
76,UPerNet,WHU,kitsap,0.6150 ± 0.0281,0.6244 ± 0.0075,0.6195 ± 0.0174
77,UPerNet,WHU,overall,0.5671 ± 0.0078,0.4465 ± 0.0090,0.4995 ± 0.0066
78,UPerNet,WHU,tyrol-w,0.5867 ± 0.0070,0.6833 ± 0.0101,0.6313 ± 0.0055
79,UPerNet,WHU,vienna,0.5988 ± 0.0159,0.5574 ± 0.0084,0.5773 ± 0.0105
80,UPerNet + CFENet,Massachusetts,Massachusetts,0.8555 ± 0.0025,0.8323 ± 0.0149,0.8437 ± 0.0077
81,UPerNet + CFENet,Massachusetts,WHU Test,0.6342 ± 0.0134,0.6694 ± 0.0195,0.6510 ± 0.0021
82,UPerNet + CFENet,Massachusetts,austin,0.3745 ± 0.0428,0.4673 ± 0.0454,0.4154 ± 0.0418
83,UPerNet + CFENet,Massachusetts,chicago,0.3625 ± 0.0182,0.2978 ± 0.0130,0.3265 ± 0.0060
84,UPerNet + CFENet,Massachusetts,kitsap,0.2785 ± 0.1277,0.4172 ± 0.0366,0.3239 ± 0.0878
85,UPerNet + CFENet,Massachusetts,overall,0.3848 ± 0.0122,0.3869 ± 0.0120,0.3857 ± 0.0084
86,UPerNet + CFENet,Massachusetts,tyrol-w,0.5424 ± 0.0258,0.5276 ± 0.0187,0.5349 ± 0.0220
87,UPerNet + CFENet,Massachusetts,vienna,0.4212 ± 0.0242,0.4557 ± 0.0189,0.4372 ± 0.0113
88,UPerNet + CFENet,WHU,Massachusetts,0.6416 ± 0.0135,0.3892 ± 0.0289,0.4842 ± 0.0250
89,UPerNet + CFENet,WHU,WHU Test,0.9132 ± 0.0066,0.9019 ± 0.0021,0.9075 ± 0.0041
90,UPerNet + CFENet,WHU,austin,0.7356 ± 0.0234,0.6081 ± 0.0069,0.6657 ± 0.0127
91,UPerNet + CFENet,WHU,chicago,0.5014 ± 0.0180,0.3044 ± 0.0364,0.3784 ± 0.0332
92,UPerNet + CFENet,WHU,kitsap,0.6904 ± 0.0327,0.6148 ± 0.0058,0.6502 ± 0.0149
93,UPerNet + CFENet,WHU,overall,0.6079 ± 0.0142,0.4585 ± 0.0180,0.5226 ± 0.0138
94,UPerNet + CFENet,WHU,tyrol-w,0.6312 ± 0.0320,0.6790 ± 0.0063,0.6540 ± 0.0199
95,UPerNet + CFENet,WHU,vienna,0.6278 ± 0.0298,0.5566 ± 0.0095,0.5900 ± 0.0185
