name,training_dataset,dataset,under_seg_ratio,over_seg_ratio,avg_under_severity,avg_over_severity
UNet,Massachusetts,vienna,"0.0391 ± 0.0069 → 0.0431 ± 0.0113 (Δ=+0.0040, t=0.49, p=0.673)","0.0574 ± 0.0070 → 0.0526 ± 0.0143 (Δ=-0.0048, t=-0.40, p=0.725)","1.1603 ± 0.0324 → 1.2306 ± 0.0354 (Δ=+0.0703, t=2.17, p=0.162)","1.1049 ± 0.0259 → 1.0822 ± 0.0487 (Δ=-0.0227, t=-0.55, p=0.640)"
UNet,WHU,Massachusetts,"0.1208 ± 0.0049 → 0.1148 ± 0.0120 (Δ=-0.0061, t=-1.02, p=0.415)","0.0123 ± 0.0008 → 0.0112 ± 0.0011 (Δ=-0.0011, t=-1.05, p=0.403)","1.3305 ± 0.0090 → 1.3322 ± 0.0177 (Δ=+0.0017, t=0.12, p=0.914)","1.1153 ± 0.0097 → 1.0788 ± 0.0153 (Δ=-0.0364, t=-2.98, p=0.097)"
UNet,WHU,WHU Test,"0.0272 ± 0.0014 → 0.0246 ± 0.0019 (Δ=-0.0026, t=-3.26, p=0.082)","0.0110 ± 0.0006 → 0.0105 ± 0.0014 (Δ=-0.0005, t=-0.48, p=0.678)","1.0586 ± 0.0098 → 1.0566 ± 0.0034 (Δ=-0.0019, t=-0.46, p=0.690)","1.0371 ± 0.0127 → 1.0302 ± 0.0018 (Δ=-0.0069, t=-0.87, p=0.476)"
UNet,WHU,austin,"0.0308 ± 0.0054 → 0.0271 ± 0.0030 (Δ=-0.0037, t=-0.87, p=0.475)","0.0219 ± 0.0011 → 0.0205 ± 0.0028 (Δ=-0.0014, t=-0.63, p=0.592)","1.1536 ± 0.0249 → 1.2422 ± 0.0540 (Δ=+0.0886, t=4.06, p=0.056)","1.0247 ± 0.0083 → 1.0259 ± 0.0195 (Δ=+0.0012, t=0.11, p=0.920)"
UNet,WHU,chicago,"0.3091 ± 0.0138 → 0.3014 ± 0.0266 (Δ=-0.0077, t=-0.34, p=0.769)","0.0070 ± 0.0013 → 0.0061 ± 0.0020 (Δ=-0.0009, t=-0.46, p=0.693)","1.6432 ± 0.0246 → 1.6541 ± 0.0365 (Δ=+0.0109, t=0.35, p=0.761)","1.0309 ± 0.0175 → 1.0401 ± 0.0205 (Δ=+0.0093, t=0.88, p=0.473)"
UNet,WHU,kitsap,"0.0071 ± 0.0031 → 0.0072 ± 0.0016 (Δ=+0.0001, t=0.07, p=0.953)","0.0094 ± 0.0027 → 0.0050 ± 0.0028 (Δ=-0.0044, t=-9.41, p=0.011)","1.1250 ± 0.1250 → 1.1944 ± 0.1735 (Δ=+0.0694, t=0.43, p=0.707)","1.0000 ± 0.0000 → 1.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
UNet,WHU,overall,"0.1335 ± 0.0010 → 0.1299 ± 0.0049 (Δ=-0.0036, t=-1.08, p=0.392)","0.0204 ± 0.0017 → 0.0186 ± 0.0014 (Δ=-0.0019, t=-1.04, p=0.407)","1.5768 ± 0.0265 → 1.5955 ± 0.0249 (Δ=+0.0187, t=0.79, p=0.514)","1.0554 ± 0.0036 → 1.0395 ± 0.0136 (Δ=-0.0159, t=-2.06, p=0.176)"
UNet,WHU,tyrol-w,"0.0473 ± 0.0042 → 0.0468 ± 0.0088 (Δ=-0.0005, t=-0.07, p=0.947)","0.0388 ± 0.0059 → 0.0361 ± 0.0012 (Δ=-0.0027, t=-0.71, p=0.553)","1.1562 ± 0.0397 → 1.1773 ± 0.0376 (Δ=+0.0212, t=0.47, p=0.682)","1.0597 ± 0.0193 → 1.0586 ± 0.0361 (Δ=-0.0011, t=-0.06, p=0.958)"
UNet,WHU,vienna,"0.0223 ± 0.0045 → 0.0228 ± 0.0034 (Δ=+0.0005, t=0.15, p=0.896)","0.0482 ± 0.0049 → 0.0436 ± 0.0010 (Δ=-0.0046, t=-1.38, p=0.301)","1.1952 ± 0.0228 → 1.2465 ± 0.0060 (Δ=+0.0513, t=4.80, p=0.041)","1.0872 ± 0.0155 → 1.0388 ± 0.0045 (Δ=-0.0483, t=-4.39, p=0.048)"
UPerNet,Massachusetts,Massachusetts,"0.0428 ± 0.0046 → 0.0381 ± 0.0084 (Δ=-0.0048, t=-1.20, p=0.351)","0.0125 ± 0.0008 → 0.0135 ± 0.0031 (Δ=+0.0010, t=0.57, p=0.628)","1.1994 ± 0.0176 → 1.1919 ± 0.0252 (Δ=-0.0075, t=-0.86, p=0.478)","1.0757 ± 0.0058 → 1.0849 ± 0.0257 (Δ=+0.0092, t=0.57, p=0.625)"
