name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
UNet,Massachusetts,WHU Test,"0.6323 ± 0.0472 → 0.6463 ± 0.0217 (Δ=+0.0140, t=0.36, p=0.751)","0.7214 ± 0.0135 → 0.6667 ± 0.0181 (Δ=-0.0547, t=-3.97, p=0.058)","0.6730 ± 0.0218 → 0.6563 ± 0.0191 (Δ=-0.0167, t=-0.74, p=0.538)"
UNet,Massachusetts,austin,"0.3589 ± 0.0748 → 0.4114 ± 0.1069 (Δ=+0.0524, t=0.55, p=0.635)","0.6235 ± 0.0339 → 0.5178 ± 0.0192 (Δ=-0.1056, t=-3.86, p=0.061)","0.4538 ± 0.0694 → 0.4533 ± 0.0686 (Δ=-0.0005, t=-0.01, p=0.995)"
UNet,Massachusetts,chicago,"0.4338 ± 0.0654 → 0.4944 ± 0.0686 (Δ=+0.0606, t=1.05, p=0.405)","0.3341 ± 0.0496 → 0.3631 ± 0.0885 (Δ=+0.0290, t=0.78, p=0.519)","0.3773 ± 0.0558 → 0.4172 ± 0.0814 (Δ=+0.0399, t=0.91, p=0.460)"
UNet,Massachusetts,kitsap,"0.2031 ± 0.0664 → 0.1848 ± 0.0748 (Δ=-0.0184, t=-0.25, p=0.824)","0.5876 ± 0.0218 → 0.4547 ± 0.0686 (Δ=-0.1329, t=-4.92, p=0.039)","0.2975 ± 0.0738 → 0.2533 ± 0.0710 (Δ=-0.0441, t=-0.58, p=0.622)"
UNet,Massachusetts,overall,"0.3966 ± 0.0670 → 0.4444 ± 0.0812 (Δ=+0.0478, t=0.66, p=0.579)","0.4766 ± 0.0282 → 0.4396 ± 0.0331 (Δ=-0.0371, t=-1.86, p=0.205)","0.4320 ± 0.0514 → 0.4409 ± 0.0555 (Δ=+0.0089, t=0.18, p=0.871)"
UNet,Massachusetts,tyrol-w,"0.5373 ± 0.0875 → 0.5575 ± 0.0581 (Δ=+0.0202, t=0.24, p=0.832)","0.6795 ± 0.0214 → 0.5516 ± 0.0313 (Δ=-0.1279, t=-4.22, p=0.052)","0.5979 ± 0.0627 → 0.5542 ± 0.0426 (Δ=-0.0438, t=-0.72, p=0.545)"
UNet,Massachusetts,vienna,"0.4192 ± 0.0273 → 0.4852 ± 0.0162 (Δ=+0.0660, t=2.81, p=0.106)","0.5634 ± 0.0080 → 0.4932 ± 0.0266 (Δ=-0.0702, t=-4.85, p=0.040)","0.4803 ± 0.0158 → 0.4890 ± 0.0178 (Δ=+0.0087, t=0.66, p=0.575)"
UNet,WHU,Massachusetts,"0.7740 ± 0.0074 → 0.8152 ± 0.0081 (Δ=+0.0412, t=7.62, p=0.017)","0.4703 ± 0.0300 → 0.4637 ± 0.0243 (Δ=-0.0066, t=-0.33, p=0.775)","0.5848 ± 0.0252 → 0.5910 ± 0.0219 (Δ=+0.0062, t=0.35, p=0.757)"
UNet,WHU,WHU Test,"0.9305 ± 0.0056 → 0.9355 ± 0.0045 (Δ=+0.0050, t=0.87, p=0.475)","0.9072 ± 0.0045 → 0.9142 ± 0.0024 (Δ=+0.0070, t=1.85, p=0.205)","0.9187 ± 0.0004 → 0.9247 ± 0.0019 (Δ=+0.0060, t=5.05, p=0.037)"
UNet,WHU,austin,"0.7772 ± 0.0054 → 0.8258 ± 0.0008 (Δ=+0.0485, t=13.91, p=0.005)","0.7012 ± 0.0020 → 0.6765 ± 0.0051 (Δ=-0.0247, t=-8.83, p=0.013)","0.7372 ± 0.0017 → 0.7437 ± 0.0032 (Δ=+0.0064, t=2.27, p=0.151)"
UNet,WHU,chicago,"0.6609 ± 0.0197 → 0.7149 ± 0.0261 (Δ=+0.0540, t=2.27, p=0.152)","0.3874 ± 0.0313 → 0.3852 ± 0.0514 (Δ=-0.0022, t=-0.05, p=0.965)","0.4882 ± 0.0301 → 0.4999 ± 0.0499 (Δ=+0.0117, t=0.27, p=0.810)"
UNet,WHU,kitsap,"0.6397 ± 0.1039 → 0.7871 ± 0.0250 (Δ=+0.1475, t=2.45, p=0.134)","0.6865 ± 0.0049 → 0.6788 ± 0.0020 (Δ=-0.0077, t=-1.92, p=0.195)","0.6591 ± 0.0566 → 0.7289 ± 0.0117 (Δ=+0.0697, t=2.15, p=0.164)"
